33,"[4, 3, 7, 8, 9, 1, 0, 5, 6, 2]",262.174,R
1,"[5, 0, 1, 9, 8, 7, 3, 4, 2, 6]",262.174,R
22,"[3, 7, 8, 9, 1, 0, 5, 6, 2, 4]",262.174,R
15,"[5, 0, 1, 9, 8, 7, 3, 4, 2, 6]",262.174,R
14,"[2, 4, 3, 7, 8, 9, 1, 0, 5, 6]",262.174,R
45,"[0, 5, 6, 2, 4, 3, 7, 8, 9, 1]",262.174,R
125,"[4, 2, 6, 5, 0, 1, 9, 8, 7, 3]",262.174,F
10,"[6, 5, 0, 1, 9, 8, 7, 3, 4, 2]",262.174,F
25,"[0, 5, 6, 2, 4, 3, 7, 8, 9, 1]",262.174,R
16,"[4, 3, 7, 8, 9, 1, 0, 5, 6, 2]",262.174,R
83,"[3, 7, 8, 9, 1, 0, 5, 6, 2, 4]",262.174,R
108,"[3, 7, 8, 9, 1, 0, 5, 6, 2, 4]",262.174,R
17,"[4, 2, 6, 5, 0, 1, 9, 8, 7, 3]",262.174,R
36,"[9, 1, 0, 5, 6, 2, 4, 3, 7, 8]",262.174,F
18,"[9, 8, 7, 3, 4, 2, 6, 5, 0, 1]",262.174,R
19,"[4, 3, 7, 8, 9, 1, 0, 5, 6, 2]",262.174,F
53,"[4, 3, 7, 8, 9, 1, 0, 5, 6, 2]",262.174,F
48,"[8, 7, 3, 4, 2, 6, 5, 0, 1, 9]",262.174,F
46,"[2, 6, 5, 0, 1, 9, 8, 7, 3, 4]",262.174,R
39,"[1, 0, 5, 6, 2, 4, 3, 7, 8, 9]",262.174,R
1,"[9, 1, 0, 5, 6, 2, 4, 3, 7, 8]",262.174,R
90,"[2, 4, 3, 7, 8, 9, 1, 0, 5, 6]",262.174,R
9,"[2, 4, 3, 7, 8, 9, 1, 0, 5, 6]",262.174,R
42,"[6, 2, 4, 3, 7, 8, 9, 1, 0, 5]",262.174,R
20,"[8, 9, 1, 0, 5, 6, 2, 4, 3, 7]",262.174,R
52,"[6, 5, 0, 1, 9, 8, 7, 3, 4, 2]",262.174,F
169,"[0, 1, 9, 8, 7, 3, 4, 2, 6, 5]",262.174,F
7,"[7, 8, 9, 1, 0, 5, 6, 2, 4, 3]",262.174,R
10,"[8, 9, 1, 0, 5, 6, 2, 4, 3, 7]",262.174,R
52,"[7, 8, 9, 1, 0, 5, 6, 2, 4, 3]",262.174,R
3,"[3, 4, 2, 6, 5, 0, 1, 9, 8, 7]",262.174,R
6,"[5, 6, 2, 4, 3, 7, 8, 9, 1, 0]",262.174,R
263,"[0, 5, 6, 2, 4, 3, 7, 8, 9, 1]",262.174,F
9,"[8, 9, 1, 0, 5, 6, 2, 4, 3, 7]",262.174,R
25,"[9, 8, 7, 3, 4, 2, 6, 5, 0, 1]",262.174,F
61,"[0, 1, 9, 8, 7, 3, 4, 2, 6, 5]",262.174,F
298,"[4, 3, 7, 8, 9, 1, 0, 5, 6, 2]",262.174,R
32,"[7, 3, 4, 2, 6, 5, 0, 1, 9, 8]",262.174,R
70,"[4, 2, 6, 5, 0, 1, 9, 8, 7, 3]",262.174,R
5,"[2, 4, 3, 7, 8, 9, 1, 0, 5, 6]",262.174,R
6,"[2, 4, 3, 7, 8, 9, 1, 0, 5, 6]",262.174,R
59,"[2, 6, 5, 0, 1, 9, 8, 7, 3, 4]",262.174,R
25,"[6, 5, 0, 1, 9, 8, 7, 3, 4, 2]",262.174,R
23,"[1, 0, 5, 6, 2, 4, 3, 7, 8, 9]",262.174,R
3,"[0, 5, 6, 2, 4, 3, 7, 8, 9, 1]",262.174,R
7,"[0, 5, 6, 2, 4, 3, 7, 8, 9, 1]",262.174,R
7,"[6, 5, 0, 1, 9, 8, 7, 3, 4, 2]",262.174,R
37,"[6, 2, 4, 3, 7, 8, 9, 1, 0, 5]",262.174,R
1,"[0, 1, 9, 8, 7, 3, 4, 2, 6, 5]",262.174,R
6,"[5, 0, 1, 9, 8, 7, 3, 4, 2, 6]",262.174,R
54,"[4, 2, 6, 5, 0, 1, 9, 8, 7, 3]",262.174,R
12,"[4, 3, 7, 8, 9, 1, 0, 5, 6, 2]",262.174,R
20,"[4, 2, 6, 5, 0, 1, 9, 8, 7, 3]",262.174,R
1,"[5, 0, 1, 9, 8, 7, 3, 4, 2, 6]",262.174,R
19,"[6, 5, 0, 1, 9, 8, 7, 3, 4, 2]",262.174,F
21,"[6, 5, 0, 1, 9, 8, 7, 3, 4, 2]",262.174,F
134,"[9, 1, 0, 5, 6, 2, 4, 3, 7, 8]",262.174,F
197,"[5, 6, 2, 4, 3, 7, 8, 9, 1, 0]",262.174,R
3,"[6, 2, 4, 3, 7, 8, 9, 1, 0, 5]",262.174,R
12,"[7, 8, 9, 1, 0, 5, 6, 2, 4, 3]",262.174,R
40,"[0, 1, 9, 8, 7, 3, 4, 2, 6, 5]",262.174,R
30,"[2, 6, 5, 0, 1, 9, 8, 7, 3, 4]",262.174,F
10,"[6, 5, 0, 1, 9, 8, 7, 3, 4, 2]",262.174,F
49,"[0, 5, 6, 2, 4, 3, 7, 8, 9, 1]",262.174,R
7,"[7, 8, 9, 1, 0, 5, 6, 2, 4, 3]",262.174,R
21,"[2, 6, 5, 0, 1, 9, 8, 7, 3, 4]",262.174,R
514,"[7, 3, 4, 2, 6, 5, 0, 1, 9, 8]",262.174,F
43,"[5, 0, 1, 9, 8, 7, 3, 4, 2, 6]",262.174,F
19,"[1, 0, 5, 6, 2, 4, 3, 7, 8, 9]",262.174,F
80,"[2, 4, 3, 7, 8, 9, 1, 0, 5, 6]",262.174,F
28,"[9, 8, 7, 3, 4, 2, 6, 5, 0, 1]",262.174,F
9,"[2, 6, 5, 0, 1, 9, 8, 7, 3, 4]",262.174,R
49,"[6, 5, 0, 1, 9, 8, 7, 3, 4, 2]",262.174,R
10,"[6, 5, 0, 1, 9, 8, 7, 3, 4, 2]",262.174,R
46,"[9, 8, 7, 3, 4, 2, 6, 5, 0, 1]",262.174,R
300,"[4, 3, 7, 8, 9, 1, 0, 5, 6, 2]",262.174,R
8,"[3, 4, 2, 6, 5, 0, 1, 9, 8, 7]",262.174,R
31,"[5, 6, 2, 4, 3, 7, 8, 9, 1, 0]",262.174,F
8,"[9, 1, 0, 5, 6, 2, 4, 3, 7, 8]",262.174,F
15,"[9, 8, 7, 3, 4, 2, 6, 5, 0, 1]",262.174,R
15,"[7, 3, 4, 2, 6, 5, 0, 1, 9, 8]",262.174,R
60,"[6, 2, 4, 3, 7, 8, 9, 1, 0, 5]",262.174,R
51,"[5, 6, 2, 4, 3, 7, 8, 9, 1, 0]",262.174,R
35,"[2, 6, 5, 0, 1, 9, 8, 7, 3, 4]",262.174,F
86,"[6, 5, 0, 1, 9, 8, 7, 3, 4, 2]",262.174,R
111,"[7, 3, 4, 2, 6, 5, 0, 1, 9, 8]",262.174,R
